channel,title,duration,url,playlist_url,error,downloaded,ext,match,path
France Culture,Prêts pour la fin du monde ? - Les Chemins de la philosophie au Forum France Culture Sorbonne,3520,https://www.youtube.com/watch?v=_3xiVGqmK5I,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCulturePrtspourlafindumondeLesCheminsdelaphilosophieauForumFranceCultureSorbonne,_3xiVGqmK5I.wav
France Culture,Le temps de la fiction climatique - La Grande table au Forum France Culture Sorbonne,2609,https://www.youtube.com/watch?v=o8UwW0NvNu4,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureLetempsdelafictionclimatiqueLaGrandetableauForumFranceCultureSorbonne,o8UwW0NvNu4.wav
France Culture,Comment l’humain s’adapte au climat - La Fabrique de l'Histoire au Forum France Culture Sorbonne,3072,https://www.youtube.com/watch?v=ZlQnFKqWPTA,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCultureCommentlhumainsadapteauclimatLaFabriquedelHistoireauForumFranceCultureSorbonne,ZlQnFKqWPTA.wav
France Culture,Préparer la vie à +2°C - La Méthode scientifique au Forum France Culture Sorbonne,3905,https://www.youtube.com/watch?v=dMcot60GEP8,https://www.youtube.com/playlist?list=PLKpTasoeXDrp2Gv6K9QkjI884Ly-QJsfi,0,0,m4a,FranceCulturePrparerlavie2CLaMthodescientifiqueauForumFranceCultureSorbonne,dMcot60GEP8.wav
CentraleSupélec,Physiques quantique & statistique 2/3,1272,https://www.youtube.com/watch?v=Sgwdm4fxtIk,https://www.youtube.com/playlist?list=PLgSHH6boFf5vsXBxMmUBRZ3W_bND6ahIK,0,0,webm,CentraleSuplecPhysiquesquantiquestatistique23,Sgwdm4fxtIk.wav
CentraleSupélec,Physiques quantique & statistique 3/3,1351,https://www.youtube.com/watch?v=KrWK_8XG6LU,https://www.youtube.com/playlist?list=PLgSHH6boFf5vsXBxMmUBRZ3W_bND6ahIK,0,0,webm,CentraleSuplecPhysiquesquantiquestatistique33,KrWK_8XG6LU.wav
CentraleSupélec,Conférence de Claude Cohen-Tannoudji : refroidissement et piégeage d'atomes par des faisceaux laser,4708,https://www.youtube.com/watch?v=Ca5mP0aY2R8,https://www.youtube.com/playlist?list=PLgSHH6boFf5vsXBxMmUBRZ3W_bND6ahIK,0,0,m4a,CentraleSuplecConfrencedeClaudeCohenTannoudjirefroidissementetpigeagedatomespardesfaisceauxlaser,Ca5mP0aY2R8.wav
CentraleSupélec,Etienne Klein - Cours introductif de Philosophie des Sciences 6/9,1404,https://www.youtube.com/watch?v=Gnunx9V5EP8,https://www.youtube.com/playlist?list=PLgSHH6boFf5twQRVizkRIOqBx0kWIklO6,0,0,m4a,CentraleSuplecEtienneKleinCoursintroductifdePhilosophiedesSciences69,Gnunx9V5EP8.wav
CentraleSupélec,Etienne Klein - Cours introductif de Philosophie des Sciences 9/9,1983,https://www.youtube.com/watch?v=nagPLN7FVP0,https://www.youtube.com/playlist?list=PLgSHH6boFf5twQRVizkRIOqBx0kWIklO6,0,0,m4a,CentraleSuplecEtienneKleinCoursintroductifdePhilosophiedesSciences99,nagPLN7FVP0.wav
France Culture,"Extension du domaine de la littérature, avec Alexandre Gefen",1499,https://www.youtube.com/watch?v=y4nJxNGj3w0,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureExtensiondudomainedelalittratureavecAlexandreGefen,y4nJxNGj3w0.wav
France Culture,"Jean-Marc Bustamante, le sens de la légèreté",1710,https://www.youtube.com/watch?v=GcVZw0ZSdRE,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureJeanMarcBustamantelesensdelalgret,GcVZw0ZSdRE.wav
France Culture,"Rose-Marie Lagrave : transfuge de classe, un parcours exemplaire ?",1920,https://www.youtube.com/watch?v=at-4wB67EIo,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureRoseMarieLagravetransfugedeclasseunparcoursexemplaire,at-4wB67EIo.wav
France Culture,Avoir 20 ans et philosopher !,1964,https://www.youtube.com/watch?v=Y6rCwT2nlQQ,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureAvoir20ansetphilosopher,Y6rCwT2nlQQ.wav
France Culture,Antarctique : baromètre du réchauffement climatique ?,1990,https://www.youtube.com/watch?v=AI1gRIRf5-w,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureAntarctiquebaromtredurchauffementclimatique,AI1gRIRf5-w.wav
France Culture,Avoir 20 ans et faire de sa vie un roman,1626,https://www.youtube.com/watch?v=CBVZUlw46BQ,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureAvoir20ansetfairedesavieunroman,CBVZUlw46BQ.wav
France Culture,Camélia Jordana chante double,1609,https://www.youtube.com/watch?v=T_00mRo1IzI,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureCamliaJordanachantedouble,T_00mRo1IzI.wav
France Culture,"Paris Police 1900, la face sombre de l'Histoire",1637,https://www.youtube.com/watch?v=ukvDfTtG3Pg,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureParisPolice1900lafacesombredelHistoire,ukvDfTtG3Pg.wav
France Culture,"Face aux crises, comment les villes se réinventent-elles ?",2037,https://www.youtube.com/watch?v=SeXboH6uF74,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureFaceauxcrisescommentlesvillesserinvententelles,SeXboH6uF74.wav
France Culture,"Jean-Michel Wilmotte, architecte du futur",1645,https://www.youtube.com/watch?v=fSlT5Qkl6Jg,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureJeanMichelWilmottearchitectedufutur,fSlT5Qkl6Jg.wav
France Culture,Chine : comment penser un pays sans mot et sans image ?,1524,https://www.youtube.com/watch?v=GjPVLXbWL3c,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureChinecommentpenserunpayssansmotetsansimage,GjPVLXbWL3c.wav
France Culture,"Eric-Emmanuel Schmitt, il était une fois la vie",1701,https://www.youtube.com/watch?v=veKqgzNnKq0,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureEricEmmanuelSchmittiltaitunefoislavie,veKqgzNnKq0.wav
France Culture,EHPAD : la vieillesse confinée ?,2022,https://www.youtube.com/watch?v=_1E9Yg2uOfM,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureEHPADlavieillesseconfine,_1E9Yg2uOfM.wav
France Culture,Alexandra Badea : devenir femme,1618,https://www.youtube.com/watch?v=TTY-xwqq2zM,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureAlexandraBadeadevenirfemme,TTY-xwqq2zM.wav
France Culture,Toledano/Nakache : la France de l’après Bataclan sur le divan,2011,https://www.youtube.com/watch?v=eQwTv_1TcFg,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureToledanoNakachelaFrancedelaprsBataclansurledivan,eQwTv_1TcFg.wav
France Culture,Toledano/Nakache : de la comédie populaire à la série intimiste,1669,https://www.youtube.com/watch?v=edelNygbKzI,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureToledanoNakachedelacomdiepopulairelasrieintimiste,edelNygbKzI.wav
France Culture,Françoise Combes : penser le monde à la lumière des galaxies,1948,https://www.youtube.com/watch?v=wypL72u6WY8,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureFranoiseCombespenserlemondelalumiredesgalaxies,wypL72u6WY8.wav
France Culture,"Grand Corps Malade, en route vers les Victoires",1642,https://www.youtube.com/watch?v=65OR0PGOkwM,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,webm,FranceCultureGrandCorpsMaladeenrouteverslesVictoires,65OR0PGOkwM.wav
France Culture,Est-il temps de reconstruire l’ordre international ?,1957,https://www.youtube.com/watch?v=vd_EHxlPgpA,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureEstiltempsdereconstruirelordreinternational,vd_EHxlPgpA.wav
France Culture,"Ariane Ascaride, du ""jeu"" au ""je""",1628,https://www.youtube.com/watch?v=Opl9x1cS2sA,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureArianeAscaridedujeuauje,Opl9x1cS2sA.wav
France Culture,"Bruno Latour : ""Ce virus est là pour nous préparer au nouveau régime climatique""",1987,https://www.youtube.com/watch?v=BqM-sk_ZLeU,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureBrunoLatourCevirusestlpournousprpareraunouveaurgimeclimatique,BqM-sk_ZLeU.wav
France Culture,S'enraciner dans l'écriture avec Nancy Huston,1598,https://www.youtube.com/watch?v=AQuWWXvINzQ,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureSenracinerdanslcritureavecNancyHuston,AQuWWXvINzQ.wav
France Culture,Comment définir le macronisme aujourd’hui ?,1974,https://www.youtube.com/watch?v=52-ukfo3Qns,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureCommentdfinirlemacronismeaujourdhui,52-ukfo3Qns.wav
France Culture,De nouvelles utopies peuvent-elles émerger ?,1944,https://www.youtube.com/watch?v=DAPiOB9ZX64,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureDenouvellesutopiespeuventellesmerger,DAPiOB9ZX64.wav
France Culture,La démocratie peut-elle survivre à l’époque ? - Avec Marcel Gauchet,1949,https://www.youtube.com/watch?v=lVtP-CrOsIM,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureLadmocratiepeutellesurvivrelpoqueAvecMarcelGauchet,lVtP-CrOsIM.wav
France Culture,"David Foster Wallace, chroniqueur visionnaire de l'Amérique déboussolée",1669,https://www.youtube.com/watch?v=KIwUSP0IQ2I,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureDavidFosterWallacechroniqueurvisionnairedelAmriquedboussole,KIwUSP0IQ2I.wav
France Culture,"Nicolas Bouchaud, le théâtre un art du temps",1553,https://www.youtube.com/watch?v=Ou6J8XkiE3Q,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureNicolasBouchaudlethtreunartdutemps,Ou6J8XkiE3Q.wav
France Culture,"Ivan Jablonka, à la frontière entre le masculin et le féminin",1954,https://www.youtube.com/watch?v=XNb4EdSdjlI,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureIvanJablonkalafrontireentrelemasculinetlefminin,XNb4EdSdjlI.wav
France Culture,"Hédi Kaddour, les mots du pouvoir",1577,https://www.youtube.com/watch?v=3PozfZfu60c,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureHdiKaddourlesmotsdupouvoir,3PozfZfu60c.wav
France Culture,Sommes-nous entrés dans une société de vigilance ?,1937,https://www.youtube.com/watch?v=HDqtSFXuF2o,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureSommesnousentrsdansunesocitdevigilance,HDqtSFXuF2o.wav
France Culture,"Caryl Férey, le frisson littéraire de cette rentrée d'hiver",1573,https://www.youtube.com/watch?v=ft2Y8byPOUw,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureCarylFreylefrissonlittrairedecetterentredhiver,ft2Y8byPOUw.wav
France Culture,"Surinformation, trop d'écrans... Attention, déraison !",1890,https://www.youtube.com/watch?v=Oi2UYL6PN74,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureSurinformationtropdcransAttentiondraison,Oi2UYL6PN74.wav
France Culture,Printemps arabes : la révolution des mots ?,1922,https://www.youtube.com/watch?v=X6-_wngVn38,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCulturePrintempsarabeslarvolutiondesmots,X6-_wngVn38.wav
France Culture,"Chantal Crousel, à l'avant-poste de l'art contemporain",1633,https://www.youtube.com/watch?v=GiIKYYrUiIg,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureChantalCrousellavantpostedelartcontemporain,GiIKYYrUiIg.wav
France Culture,L'Etat est-il un malade imaginaire de la dette ?,1957,https://www.youtube.com/watch?v=JXUvDMi5UFQ,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureLEtatestilunmaladeimaginairedeladette,JXUvDMi5UFQ.wav
France Culture,"Michel Vuillermoz, comédien ovniesque",1666,https://www.youtube.com/watch?v=vGG-qjaXb1g,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureMichelVuillermozcomdienovniesque,vGG-qjaXb1g.wav
France Culture,"Le désir, nouveau visage de l’amour ?",1920,https://www.youtube.com/watch?v=5SPQvnJzsA0,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureLedsirnouveauvisagedelamour,5SPQvnJzsA0.wav
France Culture,"Christophe Bataille, soigner nos brûlures",1672,https://www.youtube.com/watch?v=oWkLGAFtpyY,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureChristopheBataillesoignernosbrlures,oWkLGAFtpyY.wav
France Culture,"Antoine d'Agata, corps et âmes face au virus",1612,https://www.youtube.com/watch?v=7W3CcA8WPA8,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureAntoinedAgatacorpsetmesfaceauvirus,7W3CcA8WPA8.wav
France Culture,"Eric Fottorino, une rencontre singulière",1590,https://www.youtube.com/watch?v=gPuJ0JYDtAg,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureEricFottorinounerencontresingulire,gPuJ0JYDtAg.wav
France Culture,Comment s'engager en pandémie ?,1980,https://www.youtube.com/watch?v=dwnmS5uvpho,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureCommentsengagerenpandmie,dwnmS5uvpho.wav
France Culture,Une démocratie féministe est-elle enfin possible ?,1886,https://www.youtube.com/watch?v=9GxXSfLWfQ8,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureUnedmocratiefministeestelleenfinpossible,9GxXSfLWfQ8.wav
France Culture,L'art peut-il s'accommoder du virtuel ?,2012,https://www.youtube.com/watch?v=D3EsSg2m9ts,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureLartpeutilsaccommoderduvirtuel,D3EsSg2m9ts.wav
France Culture,"Rwanda, le génocide à hauteur d’enfants",1973,https://www.youtube.com/watch?v=b9YcLxUngXY,https://www.youtube.com/playlist?list=PLKpTasoeXDrpsBVAaqJ_sANguhpPukaiT,0,0,m4a,FranceCultureRwandalegnocidehauteurdenfants,b9YcLxUngXY.wav
